id	word	phonetic	definition	example	translation	source
18	abstract	[æb'strækt]	n. 摘要；抽象；抽象的概念 / adj. 抽象的；深奥的 / vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉 / vi. 做摘要；写梗概	Abstract art doesn’t look like anything.	抽象艺术看起来不像任何具体的东西。	Anki 高频单词6262
19	absurd	[əb'sɜ:d]	n. 荒诞；荒诞作品 / adj. 荒谬的；可笑的	It's absurd for a grown man to ride so small a bike.	成年人骑这么个小自行车是很可笑。	Anki 高频单词6262
20	abuse	[ə'bjuz]	n. 滥用；虐待；辱骂；弊端；恶习，陋习 / vt. 滥用；虐待；辱骂 / n. (Abuse)人名；(英)阿比斯	Stop abusing her, you evil old lady!!!	不要再虐待她了，你这个坏嬷嬷！！！	Anki 高频单词6262
21	academic	[.ækə'demɪk]	n. 大学生，大学教师；学者 / adj. 学术的；理论的；学院的	Academic jobs are not always well paid, but they’re very satisfying.	虽然学术工作收入不高，但是让人很满足。	Anki 高频单词6262
22	academy	[ə'kædəmi]	n. 学院；研究院；学会；专科院校	This school is an academy for gifted children.	这所学校是为天才儿童开设的学院。	Anki 高频单词6262
23	accelerate	[ək'selə.reɪt]	vt. 使……加快；使……增速 / vi. 加速；促进；增加	The way I dumped my girlfriend was to accelerate my vehicle drastically.	哥甩掉女友的方法就是猛烈加速。	Anki 高频单词6262
24	accelerator	[ək'selə.reɪtər]	n. 油门；催化剂；[机] 加速装置	Now where is the accelerator pedal?	这车的油门在哪里呀？	Anki 高频单词6262
25	accent	[æk'sent]	n. 口音；重音；强调；特点；重音符号 / vt. 强调；重读；带…口音讲话	He has such a funny accent!	他的口音太搞笑了!	Anki 高频单词6262
26	accept	[ək'sept]	vi. 承认；同意；承兑 / vt. 接受；承认；承担；承兑；容纳	I’m happy to accept your gift.	我很高兴接受你的礼物。	Anki 高频单词6262
27	acceptable	[ək'septəb(ə)l]	adj. 可接受的；合意的；可忍受的	This vegetable is acceptable.	这蔬菜正合我意。	Anki 高频单词6262
28	acceptance	[ək'septəns]	n. 接受	I was excited that my proposal found general acceptance among my colleagues.	我很兴奋，因为我的提议得到同事们的广泛接纳。	Anki 高频单词6262
29	accepted	[ək'septəd]	v. 接受（accept的过去式及过去分词） / adj. 公认的；录取的；可接受的；已承兑的	She felt happy because her idea was accepted by the whole team.	她很开心，因为她的想法被整个团队接受了。	Anki 高频单词6262
30	access	[ˈækˌses]	n. 进入；使用权；通路 / vt. 使用；存取；接近	Your thumbprint will give you access to the secret room.	你拇指的指纹可以让你进入那个密室。	Anki 高频单词6262
31	accessory	[əkˈsɛsəri]	n. 配件；附件；[法] 从犯 / adj. 副的；同谋的；附属的	This part of the store contains accessories, like purses and earrings.	商店的这一部分是卖首饰的，比如项链和耳环。	Anki 高频单词6262
32	accident	['æksɪdənt]	n. 事故；意外；[法] 意外事件；机遇	He was badly injured in the car accident.	圣诞老公公在车祸中受伤严重。	Anki 高频单词6262
33	accidental	[.æksɪ'dent(ə)l]	n. 次要方面；非主要的特性；临时记号 / adj. 意外的；偶然的；附属的；临时记号的	I didn’t drop the egg deliberately—it was accidental.	我并不是故意打碎鸡蛋的，这是个意外。	Anki 高频单词6262
34	accidentally	[.æksɪ'dent(ə)li]	adv. 意外地；偶然地	I accidentally dropped my phone when I opened the car door.	我打开车门时，不小心把手机掉了。	Anki 高频单词6262
35	accommodate	[ə'kɑmə.deɪt]	vi. 适应；调解 / vt. 容纳；使适应；供应；调解	The hotel room can comfortably accommodate two travelers.	这酒店的房间接纳两位旅客是没有任何问题的。	Anki 高频单词6262
36	accommodation	[ə.kɑmə'deɪʃ(ə)n]	n. 住处，膳宿；调节；和解；预订铺位	I am very satisfied with the accommodation!	我非常满意这里的住宿！	Anki 高频单词6262
37	accompany	[ə'kʌmpəni]	vt. 陪伴，伴随；伴奏 / vi. 伴奏，伴唱	I always accompany my children to their school.	我总是陪着我的小孩们去学校。	Anki 高频单词6262
38	accomplish	[ə'kʌmplɪʃ]	vt. 完成；实现；达到	It took four years, but I finally accomplished my goal of graduating from college.	我花费了4年，但最终实现了我大学毕业的目标。	Anki 高频单词6262
39	accord	[əˈkɔːrd ]	n. 符合；一致；协议；自愿 / vt. 使一致；给予 / vi. 符合；一致	Finally they all reached an accord about what the treaty should say.	他们终于就条约的内容达成了协议。	Anki 高频单词6262
40	accordance	[ə'kɔrd(ə)ns]	n. 一致；和谐	The little boy wore a helmet in accordance with safety regulations.	小男孩儿戴着一个头盔以符合安全规定。	Anki 高频单词6262
41	accordingly	[ə'kɔrdɪŋli]	adv. 因此，于是；相应地；照著	The weather changed quickly, so we changed our plans accordingly.	天气变化很快，所以我们相应地改变了计划。	Anki 高频单词6262
42	according to		根据，按照；取决于；据…所说	According to the map, the library is next to the park.	根据地图，图书馆在公园旁边。	Anki 高频单词6262
43	account	[ə'kaʊnt]	n. 账户；解释；账目，账单；理由；描述 / vt. 认为；把…视为 / vi. 解释；导致；报账	The bill was paid by my account.	我用我的账户支付了账单。	Anki 高频单词6262
44	accountant	[ə'kaʊntənt]	n. 会计师；会计人员	I think I need to hire an accountant to help me with my taxes.	我想我需要雇用一名会计师帮我计算税费。	Anki 高频单词6262
45	accounting	[ə'kaʊntɪŋ]	n. 会计，会计学；账单 / v. 解释（account的ing形式）；叙述	Sorry - my accounting skills tell me you're broke!	对不起，我的会计学技能告诉我你破产了！	Anki 高频单词6262
46	accumulate	[ə'kjumjə.leɪt]	vt. 积攒 / vi. 累积；积聚	If you accumulate enough money, you can buy a house one day.	如果你存够钱，总有一天你能买得起一套房子。	Anki 高频单词6262
47	accuracy	['ækjərəsi]	n. [数] 精确度，准确性	The man could shoot a target with a high level of accuracy.	此人命中率很高。	Anki 高频单词6262
48	accurate	['ækjərət]	adj. 精确的	I never miss my target because my aim is so accurate.	我从未失手因为我瞄得很准。	Anki 高频单词6262
49	accusation	[.ækjə'zeɪʃ(ə)n]	n. 控告，指控；谴责	The accusations from different people make me depressed.	来自不同人的谴责令我非常沮丧。	Anki 高频单词6262
50	accuse	[ə'kjuz]	vt. 控告，指控；谴责；归咎于 / vi. 指责；控告	They accused each other of being wrong.	他们相互指责对方做错了。	Anki 高频单词6262
51	ache	[eɪk]	n. 疼痛 / vi. 疼痛；渴望 / n. (Ache)人名；(德)阿赫；(西)阿切	Mark had an ache in his back.	马克有背疼的毛病。	Anki 高频单词6262
52	achieve	[ə'tʃiv]	vt. 取得；获得；实现；成功 / vi. 达到预期的目的，实现预期的结果，如愿以偿	I finally achieved my goal of winning the race.	我赢得了跑步比赛，终于达成了我的夙愿。	Anki 高频单词6262
53	achievement	[ə'tʃivmənt]	n. 成就；完成；达到；成绩	Graduating from university in such a short time is a major achievement.	在这么短时间内从大学毕业是很大的成就。	Anki 高频单词6262
54	acid	['æsɪd]	n. 酸；迷幻药 / adj. 酸的；讽刺的；刻薄的	Make sure not to touch the acid—it will burn.	确保不要去碰酸，它会灼伤你的。	Anki 高频单词6262
55	acknowledge	[əkˈnɑːlɪdʒ ]	vt. 承认；答谢；报偿；告知已收到	“Darling I’m pregnant. Please acknowledge this text.”	“亲爱的，我怀孕了，收到请回复。”	Anki 高频单词6262
56	acquaintance	[ə'kweɪntəns]	n. 熟人；相识；了解；知道	We’re not close friends, just acquaintances.	我们并不是亲密朋友，只是熟人而已。	Anki 高频单词6262
57	acquire	[ə'kwaɪr]	vt. 获得；取得；学到；捕获	He wants to acquire a new empire.	他想要得到一个新的帝国。	Anki 高频单词6262
58	acquisition	[.ækwɪ'zɪʃ(ə)n]	n. 获得物，获得；收购	His main goal in life was the acquisition of money.	他人生的主要目标就是获得金钱。	Anki 高频单词6262
59	acre	['eɪkər]	n. 土地，地产；英亩	As a farmer, I own acres and acres of land.	作为一个农民，我拥有很多亩土地。	Anki 高频单词6262
60	across	[ə'krɒs]	prep. 穿过；横穿 / adv. 横过；在对面	She is going across the river.	她正在过河。	Anki 高频单词6262
61	act	[.eɪ si 'ti]	n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势 / vt. 扮演；装作，举动像 / vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效	He sometimes acts happy, but sometimes acts sad.	他有时表演开心，但是有时又表演悲伤。	Anki 高频单词6262
62	acting	['æktɪŋ]	n. 演技；演戏；假装 / adj. 代理的；装腔作势的	Their acting skills improved over each performance.		Anki 高频单词6262
63	action	['ækʃ(ə)n]	n. 行动；活动；功能；战斗；情节 / n. (Action)人名；(英)埃克申	I love action movies, especially when they have guns and explosions!	我喜欢动作片，尤其是有枪战又有爆炸场面的时候！	Anki 高频单词6262
64	activate	['æktɪveɪt]	vt. 刺激；使活动；使活泼；使产生放射性 / vi. 激活；有活力	Press the power button to activate the machine.	按下电源键开启机器（使活动起来）。	Anki 高频单词6262
65	active	['æktɪv]	n. 主动语态；积极分子 / adj. 积极的；活跃的；主动的；有效的；现役的	An active lifestyle is important for staying healthy.	积极的生活方式对保持健康是重要的。	Anki 高频单词6262
66	activist	['æktɪvɪst]	n. 积极分子；激进主义分子	The angry activists have been protesting outside for days.	愤怒的激进分子已经在外面抗议很多天了。	Anki 高频单词6262
67	activity	[æk'tɪvəti]	n. 活动；行动；活跃	Biking is an exercise activity.	骑自行车是一种锻炼活动。	Anki 高频单词6262
68	actor	[ˈæktə]	n. 男演员；行动者；作用物	The actor wears a colorful wig and performs in the play.	这个男演员戴着彩色的假发，在戏中演出。	Anki 高频单词6262
69	actress	[ˈæktris]	n. 女演员	The beautiful actress loves the attention she gets from her fans.	这个漂亮的女演员很享受来自粉丝的关注。	Anki 高频单词6262
70	actual	['æktʃuəl]	adj. 真实的，实际的；现行的，目前的	My actual body is much fatter than my reflection.	我的真实身材远远比镜子里的影像要肥得多。	Anki 高频单词6262
71	actually	['æktʃuəli]	adv. 实际上；事实上	I thought the bag was heavy, but it was actually empty.	我以为这个包很重，但它其实是空的。	Anki 高频单词6262
72	adapt	[ə'dæpt]	vi. 适应 / vt. 使适应；改编	Human beings have adapted to the changing environment.	人类已经适应了不断变化的环境。	Anki 高频单词6262
73	adaption	[.ə'dæpʃ(ə)n]	n. 适应，改编	The movie is an adaption of a famous children’s book.	这部电影是一本文儿童名著的改编版。	Anki 高频单词6262
74	add	[.eɪ di 'di]	n. 加法，加法运算 / vi. 加；增加；加起来；做加法 / vt. 增加，添加；补充说；计算…总和	Add some milk to the egg.	往鸡蛋里加些牛奶。	Anki 高频单词6262
75	added	['ædəd]	v. 增加（add的过去分词） / adj. 更多的；额外的	She added more sugar to the tea because it was not sweet enough.	她往茶里加了更多糖，因为茶不够甜。	Anki 高频单词6262
76	addict	[ˈædɪkt]	n. 有瘾的人；入迷的人 / vt. 使沉溺；使上瘾	A person who cannot stop smoking is an addict.	不能停止吸烟的人就是对烟上瘾。	Anki 高频单词6262
77	addiction	[ə'dɪkʃ(ə)n]	n. 上瘾，沉溺；癖嗜	I don't have an addiction - I just like drinking every once in a while.	我没有瘾，只是偶尔喝一次酒。	Anki 高频单词6262
78	addition	[ə'dɪʃ(ə)n]	n. 添加；[数] 加法；增加物	Simple addition is the easiest part of math class.	加法是数学里最简单的部分。	Anki 高频单词6262
79	additional	[ə'dɪʃ(ə)nəl]	adj. 附加的，额外的	Each additional scoop made the ice cream taste even more delicious.	每多一个球都让这个冰淇淋变得更好吃了。	Anki 高频单词6262
80	address	['ædres]	n. 地址；演讲；致辞；说话的技巧；称呼 / vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理	You must write down the address before sending a letter.	寄信之前必须写上地址。	Anki 高频单词6262
81	adequate	['ædəkwət]	adj. 充足的；适当的；胜任的	I’ve prepared adequate snacks for the outing.	我为这次郊游准备了充足的零食。	Anki 高频单词6262
82	adjacent	[ə'dʒeɪs(ə)nt]	adj. 邻近的，毗连的	The homes are adjacent to one another.	房子相互毗连。	Anki 高频单词6262
83	adjective	['ædʒəktɪv]	n. 形容词 / adj. 形容词的；从属的	The word “good” is an adjective that can modify many nouns.	单词good是一个可以用来修饰名词的形容词。	Anki 高频单词6262
84	adjust	[ə'dʒʌst]	vt. 调整，使…适合；校准 / vi. 调整，校准；适应	“It’s too hot in here; I’ll adjust the temperature.”	“这里太热了，我调整一下温度。”	Anki 高频单词6262
85	adjustment	[ə'dʒʌstmənt]	n. 调整，调节；调节器	I made an adjustment to my chair so I can sit comfortably.	我调整了座椅让我能坐得更舒服一点。	Anki 高频单词6262
86	administration	[əd.mɪnɪ'streɪʃ(ə)n]	n. 管理；行政；实施；行政机构	He’s the top man in the administration of the organization.	他是管理这个组织的一把手。	Anki 高频单词6262
87	administrative	[əd'mɪnɪ.streɪtɪv]	adj. 管理的，行政的	A charming administrative assistant may relieve your fatigue during work.	一个迷人的行政助理能帮你消除工作中的疲劳哦。	Anki 高频单词6262
88	administrator	[əd'mɪnɪ.streɪtər]	n. 管理人；行政官	Our meeting with the administrator was very helpful.	和管理员的会面对我们非常有帮助。	Anki 高频单词6262
89	admiration	[.ædmə'reɪʃ(ə)n]	n. 钦佩；赞赏；羡慕；赞美	I have so much admiration for my husband.	我对我丈夫如此的钦佩。	Anki 高频单词6262
90	admire	[əd'maɪr]	vt. 钦佩；赞美 / vi. 钦佩；称赞	I admire the beautiful decorations on this cake.	我喜欢这个蛋糕上漂亮的装饰。	Anki 高频单词6262
91	admission	[əd'mɪʃ(ə)n]	n. 承认；入场费；进入许可；坦白；录用	Sorry, no admission—you can’t come in!	抱歉，未经允许，不得入内！	Anki 高频单词6262
92	admit	[əd'mɪt]	vi. 承认；容许 / vt. 承认；准许进入；可容纳	We should admit our mistakes and learn from them.	我们应该承认自己的错误并从中吸取教训。	Anki 高频单词6262
93	admittedly	[əd'mɪtədli]	adv. 公认地；无可否认地；明白地	Admittedly, the test was difficult, but I still tried my best.	诚然，这次考试很难，但我还是尽了最大努力。	Anki 高频单词6262
94	adolescent	[.ædə'les(ə)nt]	n. 青少年 / adj. 青春期的；未成熟的	I hate arguing with my adolescent daughter.	我讨厌和处在青春期的女儿争论。	Anki 高频单词6262
95	adopt	[ə'dɑpt]	vi. 采取；过继 / vt. 采取；接受；收养；正式通过	She adopted her son when he was very young.	她儿子是在他非常小的时候被她收养的。	Anki 高频单词6262
96	adoption	[ə'dɑpʃ(ə)n]	n. 采用；收养；接受	Adoption is a good option because it helps out many kids.	收养是个很好的选择，因为可以帮助很多孩子。	Anki 高频单词6262
97	adult	[ˈædʌlt]	n. 成年人 / adj. 成年的；成熟的	We’re both adults now—kiss me!	我们都是成年人了，亲亲我！	Anki 高频单词6262
98	advance	[əd'væns]	n. 发展；前进；增长；预付款 / adj. 预先的；先行的 / vt. 提出；预付；使……前进；将……提前 / vi. 前进；进展；上涨	I’d like to advance as high up in this company as possible.	我想在这家公司里尽可能地爬高。	Anki 高频单词6262
99	advanced	[əd'vænst]	adj. 先进的；高级的；晚期的；年老的 / v. 前进；增加；上涨（advance的过去式和过去分词形式）	This science seems to be too advanced for him!	看起来这门学科对他来说太难（高级）了。	Anki 高频单词6262
100	advantage	[əd'væntɪdʒ]	n. 优势；利益；有利条件 / vt. 有利于；使处于优势 / vi. 获利	I’m looking for anything that can give me an advantage in the race.	我在找所有有利于我赢得比赛的东西！	Anki 高频单词6262
101	adventure	[əd'ventʃər]	n. 冒险；冒险精神；投机活动 / vt. 冒险；大胆说出 / vi. 冒险	Jumping off a mountain was part of his adventure.	他的冒险经历包括从山上跳下！	Anki 高频单词6262
102	adverb	['æd.vɜrb]	n. 副词 / adj. 副词的	Adverbs help to give more meaning to verbs and adjectives.	副词赋予了动词和形容词更多释义。	Anki 高频单词6262
103	adverse	[æd'vɜrs]	adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）	Smoking has a lot of adverse health effects.	吸烟对人体有着非常多的不利影响。	Anki 高频单词6262
104	advert	['æd.vɜrt]	vi. 注意；谈到 / n. 广告 / n. (Advert)人名；(法)阿德韦尔	This billboard is waiting for an advert.	广告牌还在未登广告。	Anki 高频单词6262
105	advertise	['ædvər.taɪz]	vt. 通知；为…做广告；使突出 / vi. 做广告，登广告；作宣传	The man advertises his business to potential customers.	这个男人在为自己的公司做广告来赢取潜在客户。	Anki 高频单词6262
106	advertisement	[.ædvər'taɪzmənt]	n. 广告，宣传	The advertisement says this drug makes you laugh to death.	广告说这药可以让你大笑致死。	Anki 高频单词6262
107	advertising	['ædvər.taɪzɪŋ]	n. 广告；广告业；登广告 / adj. 广告的；广告业的 / v. 公告；为…做广告（advertise的ing形式）	Advertising helps people learn about new products and special offers.	广告宣传帮助人们了解新产品和特别优惠。	Anki 高频单词6262
108	advice	[əd'vaɪs]	n. 建议；忠告；劝告；通知	The doctor is giving her some good advice.	医生正给予她一些好的建议。	Anki 高频单词6262
109	advise	[əd'vaɪz]	vt. 建议；劝告，忠告；通知；警告 / vi. 建议；与…商量	My teacher advised me to use the APP to learn English.	我的老师建议我用这个APP学英语。	Anki 高频单词6262
110	adviser	[əd'vaɪzər]	n. 顾问；劝告者；指导教师（等于advisor）	Our financial adviser helps us with our money plans.	我们的理财顾问帮助我们制定财务计划。	Anki 高频单词6262
111	advisory	[əd'vaɪz(ə)ri]	n. 报告；公告 / adj. 咨询的；顾问的；劝告的	She works in an advisory capacity; ask her for advice if you have any questions.	她以顾问身份工作，如果有任何问题，向她寻求建议。	Anki 高频单词6262
112	advocate	['ædvəkət]	n. 提倡者；支持者；律师 / vt. 提倡，主张，拥护	The lawyer advocates for his client, but only because he is getting paid.	这名律师积极为客户辩护，但仅仅因为客户给了钱。	Anki 高频单词6262
113	aeroplane	['erə.pleɪn]	n. 飞机（等于airplane）	I like to watch aeroplanes land and takeoff from the airport.	我喜欢看飞机在机场降落和起飞。	Anki 高频单词6262
114	affair	[ə'fer]	n. 事情；事务；私事；（尤指关系不长久的）风流韵事	Do you read the news about foreign affairs?	你看了外交事务方面的新闻没？	Anki 高频单词6262
115	affect	['æfekt]	n. 情感；引起感情的因素 / vt. 影响；感染；感动；假装 / vi. 倾向；喜欢	Her break-up with her lover has badly affected her.	她与恋人的分手严重地影响了她。	Anki 高频单词6262
116	affection	[ə'fekʃ(ə)n]	n. 喜爱，感情；影响；感染	The couple show affection to each other by hugging and kissing.	这对夫妻用拥抱和亲吻的方式来表达爱意。	Anki 高频单词6262
117	afford	[ə'fɔrd]	vt. 给予，提供；买得起 / n. (Afford)人名；(英)阿福德	Her husband can afford the expensive handbag.	她丈夫买得起那个昂贵的包包。	Anki 高频单词6262
118	afraid	[ə'freɪd]	adj. 害怕的；恐怕；担心的	I am afraid of your look!	我害怕你这个样子！	Anki 高频单词6262
119	after	['æftər]	conj. 在……之后 / prep. 在……之后 / adj. 以后的 / adv. 后来，以后	This is me before and after exercising.	这是锻炼前和锻炼后的我。	Anki 高频单词6262
120	afternoon	[.æftər'nun]	n. 午后，下午	It's time for afternoon tea!	下午茶时间到啦！	Anki 高频单词6262
121	afterwards	['æftərwərdz]	adv. 后来；然后	The party was very fun, but afterwards we had to clean up.	聚会很有趣，但是结束以后我们得打扫。	Anki 高频单词6262
122	again	[ə'ɡen]	adv. 又，此外；再一次；再说；增加 / n. （英、保）阿盖恩	It looks like it will rain again.	看起来又要下雨了。	Anki 高频单词6262
123	against	[ə'genst]	prep. 反对，违反；靠；倚；防备 / adj. 不利的；对立的	Only one person stood actively against him.	只有一个人站在那主动地反对他。	Anki 高频单词6262
124	age	[eɪdʒ]	n. 年龄；时代；寿命，使用年限；阶段 / vt. 使成熟；使变老，使上年纪 / vi. 成熟；变老 / n. (Age)人名；(瑞典)阿格；(日)扬 (姓)；(西、荷)阿赫	People at any age should do sports.	任何年龄段的人都应该做运动。	Anki 高频单词6262
125	aged	['eɪdʒəd]	v. 老化（age的过去式）；成熟；变老 / adj. 年老的；…岁的；老年人特有的	We may be old and aged, but our lives are great. We’ve got it made!		Anki 高频单词6262
126	agency	['eɪdʒənsi]	n. 代理，中介；代理处，经销处	I’ll call the travel agency to arrange my vacation.	我会打电话让旅行社安排我的假期。	Anki 高频单词6262
127	agenda	[ə'dʒendə]	n. 议程；日常工作事项；日程表	What topics should we put on the agenda for our afternoon meeting?	我们应该把哪些议题放入下午的会议议程中？	Anki 高频单词6262
128	agent	['eɪdʒənt]	n. 代理人，代理商；药剂；特工 / adj. 代理的 / vt. 由…作中介；由…代理 / n. (Agent)人名；(罗)阿真特	The real estate agent helped us buy our house.	房产经纪人帮助我们选购房子。	Anki 高频单词6262
129	aggression	[ə'ɡreʃ(ə)n]	n. 侵略；进攻；侵犯；侵害	My boyfriend's aggression worsened our relationship.	男友的攻击行为恶化了我们的关系。	Anki 高频单词6262
130	aggressive	[ə'ɡresɪv]	adj. 侵略性的；好斗的；有进取心的；有闯劲的	She is so aggressive; she’s always starting fights.	她非常好斗，总是挑起打架。	Anki 高频单词6262
131	agony	['æɡəni]	n. 苦恼；极大的痛苦；临死的挣扎	My back hurts so much; I'm in agony.	我的背好痛，我好痛苦。	Anki 高频单词6262
132	agree	[ə'ɡri]	vi. / vi. 同意，意见一致；约定，商定 / vt. 同意，赞成；承认；约定，商定	We shake hands and agree with each other.	我们握手达成一致。	Anki 高频单词6262
133	agreed	[ə'ɡrid]	v. 同意；赞成（agree的过去式） / adj. 同意的；通过协议的	The members are agreed that the project should be passed.	成员们都同意这个项目应该被通过。	Anki 高频单词6262
134	agreement	[ə'ɡrimənt]	n. 协议；同意，一致	Both of them were happy with their agreement.	他们双方都对协议感到满意。	Anki 高频单词6262
135	agricultural	[.æɡrɪ'kʌltʃ(ə)rəl]	adj. 农业的；农艺的	The agricultural industry is so advanced that there should be enough food for everyone.	农业产业相当发达，足以供应每个人食物了。	Anki 高频单词6262
136	agriculture	['æɡrɪ.kʌltʃər]	n. 农业；农耕；农业生产；农艺，农学	We depend on agriculture to give us food.	我们依靠农业给我们提供食物。	Anki 高频单词6262
137	ahead	[əˈhed]	adj. 向前；在前的；领先 / adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来	I am running ahead of the rest of the group.	我跑得比这个组的其他人快。	Anki 高频单词6262
138	aid	[ed]	n. 援助；帮助；助手；帮助者 / vt. 援助；帮助；有助于 / vi. 帮助 / n. (Aid)人名；(阿拉伯、印、英)艾德	I cut myself and I need someone to help me. Do you know first aid?	我割到了自己，我需要有人来帮我。你会急救吗？	Anki 高频单词6262
139	AIDS	[eɪdz]	abbr. 艾滋病，获得性免疫缺损综合症（Acquired Immune Deficiency Syndrome）	This ribbon is to help people understand the AIDS disease.	红丝带是帮助人们了解艾滋病的。	Anki 高频单词6262
140	aim	[eɪm]	n. 目的；目标；对准 / vt. 目的在于；引导；把…对准 / vi. 打算；对准目标；瞄准	The man aimed at the pig to kill it.	那个男人瞄准了那只猪，准备射死它。	Anki 高频单词6262
141	air	[er]	n. 空气，大气；天空；样子；曲调 / vt. 使通风，晾干；夸耀 / vi. 通风	The man is blowing air into the balloon.	这个男人正在吹气球。	Anki 高频单词6262
142	air conditioning	[ˈer kəndɪʃənɪŋ ]	n. 空调系统；空气调节	The air-conditioning keeps the room cool in summer.	空调系统让房间在夏天保持凉爽。	Anki 高频单词6262
143	aircraft	[ˈerˌkræft]	n. 飞机，航空器	That aircraft has no pilot flying it!	那架飞机没有飞行员驾驶！	Anki 高频单词6262
144	air force		空军	My uncle served in the Air Force and learned how to fly planes.	我的叔叔曾在空军服役，并学会了开飞机。	Anki 高频单词6262
145	airline	['er.laɪn]	n. 航空公司；航线 / adj. 航线的	This airline only flies you to places the pilots really want to visit!	这家航空公司只带你飞去驾驶员想去的地方！	Anki 高频单词6262
146	airport	['er.pɔrt]	n. 机场；航空站	This airport is very busy.	这个机场很繁忙。	Anki 高频单词6262
147	alarm	[ə'lɑrm]	n. 闹钟；警报，警告器；惊慌 / vt. 警告；使惊恐	My alarm wakes me up every day. I hate it so much.	每天都被我的闹钟吵醒，恨死它了。	Anki 高频单词6262
148	alarm clock		闹钟	My alarm-clock rings at seven every morning.	我的闹钟每天早上七点响。	Anki 高频单词6262
149	albeit	[ɔl'biɪt]	conj. 虽然；即使	The room was small, albeit very clean and bright.	这个房间很小，尽管非常干净明亮。	Anki 高频单词6262
150	album	['ælbəm]	n. 相簿；唱片集；集邮簿；签名纪念册	There are many old photos in my photo album.	我的相册里收藏了许多老照片。	Anki 高频单词6262
151	alcohol	['ælkə.hɔl]	n. 酒精，乙醇	I avoid alcohol because it weakens my judgment.	我不喝酒，因为酒精会削弱我的决断力。	Anki 高频单词6262
